medium version intensity reflectance luminance
shadow 5 3 0.171 12
shadow 6 8 1.369 75
shadow 7 3 0.171 12
shadow 8 6 0.73 42
shadow 9 9 1.768 97
transp_dark 10 4 0.305 28
transp_dark 11 8 1.369 68
transp_dark 12 2 0.092 20
transp_dark 13 3 0.171 25
transp_dark 14 3 0.171 25
transp_dark 15 6 0.73 46
transp_dark 1 1 0.065 20
transp_dark 2 3 0.171 25
transp_dark 3 10 2.22 100
transp_dark 4 3 0.171 24
transp_dark 5 1 0.065 20
transp_dark 6 8 1.369 68
transp_dark 7 2 0.092 20
transp_dark 8 7 1.023 56
transp_dark 9 7 1.023 56
transp_dark_steep 10 5 0.49 50
transp_dark_steep 11 7 1.023 90
transp_dark_steep 12 3 0.171 27
transp_dark_steep 13 2 0.092 21
transp_dark_steep 14 8 1.369 116
transp_dark_steep 1 9 1.768 146
transp_dark_steep 15 2 0.092 21
transp_dark_steep 2 6 0.73 68
transp_dark_steep 3 1 0.065 18
transp_dark_steep 4 6 0.73 69
transp_dark_steep 5 9 1.768 145
transp_dark_steep 6 4 0.305 37
transp_dark_steep 7 1 0.065 19
transp_dark_steep 8 9 1.768 146
transp_dark_steep 9 7 1.023 89
transp_med 10 1 0.065 133
transp_med 11 5 0.49 148
transp_med 12 6 0.73 158
transp_med 13 9 1.768 195
transp_med 14 9 1.768 195
transp_med 15 10 2.22 212
transp_med 1 8 1.369 181
transp_med 2 10 2.22 212
transp_med 3 3 0.171 137
transp_med 4 7 1.023 168
transp_med 5 8 1.369 181
transp_med 6 8 1.369 180
transp_med 7 6 0.73 158
transp_med 8 4 0.305 141
transp_med 9 2 0.092 133
transp_med_steep 10 6 0.73 153
transp_med_steep 11 9 1.768 229
transp_med_steep 12 3 0.171 112
transp_med_steep 13 8 1.369 199
transp_med_steep 14 3 0.171 112
transp_med_steep 15 1 0.065 104
transp_med_steep 1 8 1.369 200
transp_med_steep 2 10 2.22 263
transp_med_steep 3 9 1.768 229
transp_med_steep 4 4 0.305 120
transp_med_steep 5 7 1.023 175
transp_med_steep 6 9 1.768 230
transp_med_steep 7 10 2.22 264
transp_med_steep 8 7 1.023 175
transp_med_steep 9 10 2.22 263
plain 10 3 0.171 37
plain 1 3 0.171 38
plain 11 7 1.023 193
plain 12 8 1.369 257
plain 13 1 0.065 15
plain 14 10 2.22 416
plain 15 2 0.092 22
plain 2 4 0.305 61
plain 3 7 1.023 194
plain 4 9 1.768 330
plain 5 6 0.73 140
plain 6 5 0.49 95
plain 7 2 0.092 22
plain 8 3 0.171 37
plain 9 6 0.73 139
shadow 10 7 1.023 59
shadow 11 8 1.369 75
shadow 12 10 2.22 121
shadow 13 7 1.023 59
shadow 14 2 0.092 8
shadow 1 9 1.768 99
shadow 15 5 0.49 29
shadow 2 2 0.092 8
shadow 3 6 0.73 42
shadow 4 7 1.023 59
shadow 5 3 0.171 13
shadow 6 8 1.369 75
shadow 7 3 0.171 12
shadow 8 6 0.73 42
shadow 9 9 1.768 98
transp_dark 10 4 0.305 29
transp_dark 11 8 1.369 69
transp_dark 12 2 0.092 21
transp_dark 13 3 0.171 25
transp_dark 14 3 0.171 25
transp_dark 15 6 0.73 46
transp_dark 1 1 0.065 20
transp_dark 2 3 0.171 25
transp_dark 3 10 2.22 100
transp_dark 4 3 0.171 25
transp_dark 5 1 0.065 20
transp_dark 6 8 1.369 69
transp_dark 7 2 0.092 21
transp_dark 8 7 1.023 56
transp_dark 9 7 1.023 56
transp_dark_steep 10 5 0.49 50
transp_dark_steep 11 7 1.023 90
transp_dark_steep 12 3 0.171 27
transp_dark_steep 13 2 0.092 21
transp_dark_steep 14 8 1.369 116
transp_dark_steep 1 9 1.768 146
transp_dark_steep 15 2 0.092 21
transp_dark_steep 2 6 0.73 69
transp_dark_steep 3 1 0.065 18
transp_dark_steep 4 6 0.73 69
transp_dark_steep 5 9 1.768 146
transp_dark_steep 6 4 0.305 38
transp_dark_steep 7 1 0.065 19
transp_dark_steep 8 9 1.768 146
transp_dark_steep 9 7 1.023 90
transp_med 10 1 0.065 133
transp_med 11 5 0.49 149
transp_med 12 6 0.73 158
transp_med 13 9 1.768 195
transp_med 14 9 1.768 195
transp_med 15 10 2.22 212
transp_med 1 8 1.369 181
transp_med 2 10 2.22 212
transp_med 3 3 0.171 137
transp_med 4 7 1.023 168
transp_med 5 8 1.369 181
transp_med 6 8 1.369 181
transp_med 7 6 0.73 159
transp_med 8 4 0.305 141
transp_med 9 2 0.092 133
transp_med_steep 10 6 0.73 153
transp_med_steep 11 9 1.768 229
transp_med_steep 12 3 0.171 113
transp_med_steep 13 8 1.369 200
transp_med_steep 14 3 0.171 112
transp_med_steep 15 1 0.065 105
transp_med_steep 1 8 1.369 200
transp_med_steep 2 10 2.22 263
transp_med_steep 3 9 1.768 230
transp_med_steep 4 4 0.305 121
