medium version intensity reflectance luminance
transp_dark_small 11 7 1.023 50.78
transp_dark_small 12 5 0.49 31.54
transp_dark_small 13 4 0.305 25.72
transp_dark_small 14 1 0.065 18
transp_dark_small 15 9 1.768 76.16
transp_dark_small 1 4 0.305 25.57
transp_dark_small 2 9 1.768 76.4
transp_dark_small 3 4 0.305 25.67
transp_dark_small 4 5 0.49 31.8
transp_dark_small 5 6 0.73 40.37
transp_dark_small 6 1 0.065 18.08
transp_dark_small 7 10 2.22 92.16
transp_dark_small 8 1 0.065 18.13
transp_dark_small 9 3 0.171 21.95
transp_dark_steep_small 10 10 2.22 165.8
transp_dark_steep_small 11 6 0.73 62.63
transp_dark_steep_small 12 8 1.369 106.3
transp_dark_steep_small 13 6 0.73 62.74
transp_dark_steep_small 14 5 0.49 45.26
transp_dark_steep_small 1 8 1.369 105.7
transp_dark_steep_small 15 4 0.305 33.53
transp_dark_steep_small 2 3 0.171 23.98
transp_dark_steep_small 3 2 0.092 18.57
transp_dark_steep_small 4 1 0.065 16.43
transp_dark_steep_small 5 10 2.22 164.8
transp_dark_steep_small 6 8 1.369 106.6
transp_dark_steep_small 7 6 0.73 63.06
transp_dark_steep_small 8 4 0.305 33.95
transp_dark_steep_small 9 2 0.092 18.34
transp_med_small 10 7 1.023 158.9
transp_med_small 11 8 1.369 171.2
transp_med_small 12 2 0.092 124.9
transp_med_small 13 6 0.73 149
transp_med_small 14 8 1.369 171.2
transp_med_small 15 5 0.49 139.8
transp_med_small 1 9 1.768 184.5
transp_med_small 2 4 0.305 132.7
transp_med_small 3 4 0.305 132.8
transp_med_small 4 1 0.065 124.9
transp_med_small 5 10 2.22 200
transp_med_small 6 7 1.023 158.6
transp_med_small 7 2 0.092 125
transp_med_small 8 8 1.369 170.7
transp_med_small 9 6 0.73 149.1
transp_med_steep_small 10 1 0.065 97.14
transp_med_steep_small 11 6 0.73 143.7
transp_med_steep_small 12 1 0.065 97.37
transp_med_steep_small 13 7 1.023 164.4
transp_med_steep_small 14 10 2.22 247.5
transp_med_steep_small 15 2 0.092 99.6
transp_med_steep_small 1 4 0.305 113.2
transp_med_steep_small 2 1 0.065 97.31
transp_med_steep_small 3 8 1.369 187.5
transp_med_steep_small 4 6 0.73 143.5
transp_med_steep_small 5 5 0.49 126.9
transp_med_steep_small 6 6 0.73 143
transp_med_steep_small 7 2 0.092 99.5
transp_med_steep_small 8 5 0.49 127.1
transp_med_steep_small 9 9 1.768 215.8
transp_dark_small 10 5 0.49 31.46
transp_dark_small 11 7 1.023 50.85
transp_dark_small 12 5 0.49 31.63
transp_dark_small 13 4 0.305 25.75
transp_dark_small 14 1 0.065 18.03
transp_dark_small 15 9 1.768 76.21
transp_dark_small 1 4 0.305 25.62
transp_dark_small 2 9 1.768 76.49
transp_dark_small 3 4 0.305 25.7
transp_dark_small 4 5 0.49 31.88
transp_dark_small 5 6 0.73 40.45
transp_dark_small 6 1 0.065 18.14
transp_dark_small 7 10 2.22 92.27
transp_dark_small 8 1 0.065 18.16
transp_dark_small 9 3 0.171 22
transp_dark_steep_small 10 10 2.22 165.9
transp_dark_steep_small 11 6 0.73 62.71
transp_dark_steep_small 12 8 1.369 106.5
transp_dark_steep_small 13 6 0.73 62.83
transp_dark_steep_small 14 5 0.49 45.33
transp_dark_steep_small 1 8 1.369 105.9
transp_dark_steep_small 15 4 0.305 33.58
transp_dark_steep_small 2 3 0.171 24
transp_dark_steep_small 3 2 0.092 18.61
transp_dark_steep_small 4 1 0.065 16.47
transp_dark_steep_small 5 10 2.22 164.9
transp_dark_steep_small 6 8 1.369 106.6
transp_dark_steep_small 7 6 0.73 63.07
transp_dark_steep_small 8 4 0.305 34.03
transp_dark_steep_small 9 2 0.092 18.36
transp_med_small 10 7 1.023 158.9
transp_med_small 11 8 1.369 171.4
transp_med_small 12 2 0.092 124.9
transp_med_small 13 6 0.73 149.2
transp_med_small 14 8 1.369 171.3
transp_med_small 15 5 0.49 140
transp_med_small 1 9 1.768 184.5
transp_med_small 2 4 0.305 132.9
transp_med_small 3 4 0.305 132.9
transp_med_small 4 1 0.065 125.1
transp_med_small 5 10 2.22 200.3
transp_med_small 6 7 1.023 158.8
transp_med_small 7 2 0.092 125.2
transp_med_small 8 8 1.369 170.8
transp_med_small 9 6 0.73 149.3
transp_med_steep_small 10 1 0.065 97.25
transp_med_steep_small 11 6 0.73 143.8
transp_med_steep_small 12 1 0.065 97.53
transp_med_steep_small 13 7 1.023 164.5
transp_med_steep_small 14 10 2.22 247.6
transp_med_steep_small 15 2 0.092 99.7
transp_med_steep_small 1 4 0.305 113.4
transp_med_steep_small 2 1 0.065 97.43
transp_med_steep_small 3 8 1.369 187.7
transp_med_steep_small 4 6 0.73 143.7
transp_med_steep_small 5 5 0.49 126.9
transp_med_steep_small 6 6 0.73 143.1
transp_med_steep_small 7 2 0.092 99.5
transp_med_steep_small 8 5 0.49 127.2
transp_med_steep_small 9 9 1.768 215.9
transp_dark_small 10 6 0.73 35.85
transp_dark_small 11 1 0.065 16.04
transp_dark_small 12 9 1.768 69.33
transp_dark_small 13 10 2.22 84.64
transp_dark_small 14 10 2.22 84.7
transp_dark_small 15 8 1.369 56.71
transp_dark_small 1 6 0.73 35.75
transp_dark_small 2 5 0.49 28.66
transp_dark_small 3 7 1.023 45.75
transp_dark_small 4 8 1.369 56.79
transp_dark_small 5 2 0.092 16.09
transp_dark_small 6 9 1.768 69.83
transp_dark_small 7 4 0.305 23.43
transp_dark_small 8 3 0.171 19.99
transp_dark_small 9 10 2.22 85.35
transp_dark_steep_small 10 9 1.768 124.8
transp_dark_steep_small 11 1 0.065 14.84
transp_dark_steep_small 12 4 0.305 28.99
transp_dark_steep_small 13 9 1.768 124.3
transp_dark_steep_small 14 7 1.023 76.09
transp_dark_steep_small 1 4 0.305 29.45
transp_dark_steep_small 15 3 0.171 21.73
transp_dark_steep_small 2 10 2.22 155.5
transp_dark_steep_small 3 5 0.49 41.85
transp_dark_steep_small 4 7 1.023 76.1
transp_dark_steep_small 5 5 0.49 42.39
transp_dark_steep_small 6 10 2.22 155.3
transp_dark_steep_small 7 7 1.023 76.33
transp_dark_steep_small 8 3 0.171 21.97
transp_dark_steep_small 9 1 0.065 14.73
transp_med_small 10 4 0.305 126.4
transp_med_small 11 7 1.023 149.7
transp_med_small 12 4 0.305 126.6
transp_med_small 13 1 0.065 119.3
transp_med_small 14 2 0.092 119.4
transp_med_small 15 3 0.171 123.3
transp_med_small 1 5 0.49 133.3
transp_med_small 2 2 0.092 119.5
transp_med_small 3 6 0.73 140.9
transp_med_small 4 3 0.171 122.9
transp_med_small 5 9 1.768 175.3
transp_med_small 6 10 2.22 190.8
transp_med_small 7 1 0.065 119.2
transp_med_small 8 5 0.49 133.2
transp_med_small 9 10 2.22 190.8
transp_med_steep_small 10 8 1.369 178.3
transp_med_steep_small 11 4 0.305 108.3
transp_med_steep_small 12 2 0.092 94.5
transp_med_steep_small 13 10 2.22 235
transp_med_steep_small 14 8 1.369 178.2
transp_med_steep_small 15 4 0.305 107.8
transp_med_steep_small 1 5 0.49 119.4
transp_med_steep_small 2 7 1.023 156.2
transp_med_steep_small 3 3 0.171 98.57
transp_med_steep_small 4 3 0.171 98.18
transp_med_steep_small 5 1 0.065 92.64
transp_med_steep_small 6 8 1.369 178.9
transp_med_steep_small 7 5 0.49 119.7
transp_med_steep_small 8 1 0.065 92.46
transp_med_steep_small 9 3 0.171 98.96
transp_dark_small 10 6 0.73 36.37
transp_dark_small 11 1 0.065 16.39
transp_dark_small 12 9 1.768 70.39
transp_dark_small 13 10 2.22 85.81
transp_dark_small 14 10 2.22 85.82
transp_dark_small 15 8 1.369 57.61
transp_dark_small 1 6 0.73 36.37
transp_dark_small 2 5 0.49 29.17
transp_dark_small 3 7 1.023 46.38
transp_dark_small 4 8 1.369 57.62
transp_dark_small 5 2 0.092 16.4
transp_dark_small 6 9 1.768 70.67
transp_dark_small 7 4 0.305 23.85
transp_dark_small 8 3 0.171 20.35
transp_dark_small 9 10 2.22 86.23
transp_dark_steep_small 10 9 1.768 126
transp_dark_steep_small 11 1 0.065 15.09
transp_dark_steep_small 12 4 0.305 29.46
transp_dark_steep_small 13 9 1.768 125.5
transp_dark_steep_small 14 7 1.023 76.86
transp_dark_steep_small 1 4 0.305 29.81
transp_dark_steep_small 15 3 0.171 22.07
transp_dark_steep_small 2 10 2.22 156.9
transp_dark_steep_small 3 5 0.49 42.44
transp_dark_steep_small 4 7 1.023 76.92
transp_dark_steep_small 5 5 0.49 42.92
transp_dark_steep_small 6 10 2.22 156.5
transp_dark_steep_small 7 7 1.023 77.15
transp_dark_steep_small 8 3 0.171 22.24
transp_dark_steep_small 9 1 0.065 14.93
transp_med_small 10 4 0.305 127.4
transp_med_small 11 7 1.023 150.9
transp_med_small 12 4 0.305 127.6
transp_med_small 13 1 0.065 120.3
transp_med_small 14 2 0.092 120.3
transp_med_small 15 3 0.171 124.2
transp_med_small 1 5 0.49 134.4
transp_med_small 2 2 0.092 120.3
transp_med_small 3 6 0.73 141.9
transp_med_small 4 3 0.171 123.7
transp_med_small 5 9 1.768 176.5
transp_med_small 6 10 2.22 192.1
transp_med_small 7 1 0.065 120
transp_med_small 8 5 0.49 134.2
transp_med_small 9 10 2.22 192.1
transp_med_steep_small 10 8 1.369 179.5
transp_med_steep_small 11 4 0.305 109
transp_med_steep_small 12 2 0.092 95.25
transp_med_steep_small 13 10 2.22 236.4
transp_med_steep_small 14 8 1.369 179.2
transp_med_steep_small 15 4 0.305 108.6
transp_med_steep_small 1 5 0.49 120.2
transp_med_steep_small 2 7 1.023 157.2
transp_med_steep_small 3 3 0.171 99.22
transp_med_steep_small 4 3 0.171 98.91
transp_med_steep_small 5 1 0.065 93.24
transp_med_steep_small 6 8 1.369 179.8
transp_med_steep_small 7 5 0.49 120.3
transp_med_steep_small 8 1 0.065 93.08
transp_med_steep_small 9 3 0.171 99.62
transp_dark_small 10 4 0.305 24.78
transp_dark_small 11 8 1.369 60.95
transp_dark_small 12 2 0.092 17.19
transp_dark_small 13 3 0.171 20.94
transp_dark_small 14 3 0.171 20.86
transp_dark_small 15 6 0.73 39.75
transp_dark_small 1 1 0.065 16.79
transp_dark_small 2 3 0.171 20.65
transp_dark_small 3 10 2.22 90.97
transp_dark_small 4 3 0.171 20.91
transp_dark_small 5 1 0.065 16.84
transp_dark_small 6 8 1.369 61.11
transp_dark_small 7 2 0.092 17.14
transp_dark_small 8 7 1.023 49.58
transp_dark_small 9 7 1.023 49.81
transp_dark_steep_small 10 5 0.49 44.07
transp_dark_steep_small 11 7 1.023 81.45
transp_dark_steep_small 12 3 0.171 22.86
transp_dark_steep_small 13 2 0.092 17.32
transp_dark_steep_small 14 8 1.369 105.5
transp_dark_steep_small 1 9 1.768 133.8
transp_dark_steep_small 15 2 0.092 16.98
transp_dark_steep_small 2 6 0.73 61.4
transp_dark_steep_small 3 1 0.065 15.49
transp_dark_steep_small 4 6 0.73 61.59
transp_dark_steep_small 5 9 1.768 133.3
transp_dark_steep_small 6 4 0.305 32.71
transp_dark_steep_small 7 1 0.065 15.7
transp_dark_steep_small 8 9 1.768 133.8
transp_dark_steep_small 9 7 1.023 81.56
transp_med_small 10 1 0.065 122.6
transp_med_small 11 5 0.49 136.9
transp_med_small 12 6 0.73 146.5
transp_med_small 13 9 1.768 181.5
transp_med_small 14 9 1.768 181.7
transp_med_small 15 10 2.22 198.3
transp_med_small 1 8 1.369 168.4
transp_med_small 2 10 2.22 197.9
transp_med_small 3 3 0.171 126.1
transp_med_small 4 7 1.023 156
transp_med_small 5 8 1.369 168.2
transp_med_small 6 8 1.369 168.1
transp_med_small 7 6 0.73 146.4
transp_med_small 8 4 0.305 130
transp_med_small 9 2 0.092 122.3
transp_med_steep_small 10 6 0.73 141.8
transp_med_steep_small 11 9 1.768 215.2
transp_med_steep_small 12 3 0.171 102.6
transp_med_steep_small 13 8 1.369 186.5
transp_med_steep_small 14 3 0.171 102.6
transp_med_steep_small 15 1 0.065 95.47
transp_med_steep_small 1 8 1.369 186.7
transp_med_steep_small 2 10 2.22 248.3
transp_med_steep_small 3 9 1.768 215.1
transp_med_steep_small 4 4 0.305 110.2
transp_med_steep_small 5 7 1.023 162.3
transp_med_steep_small 6 9 1.768 215.1
transp_med_steep_small 7 10 2.22 247.6
transp_med_steep_small 8 7 1.023 162.9
transp_med_steep_small 9 10 2.22 247.6
transp_dark_small 10 4 0.305 24.54
transp_dark_small 11 8 1.369 61.19
transp_dark_small 12 2 0.092 17.31
transp_dark_small 13 3 0.171 21.1
transp_dark_small 14 3 0.171 21
transp_dark_small 15 6 0.73 39.95
transp_dark_small 1 1 0.065 16.91
transp_dark_small 2 3 0.171 20.83
transp_dark_small 3 10 2.22 91.34
transp_dark_small 4 3 0.171 21.04
transp_dark_small 5 1 0.065 16.96
transp_dark_small 6 8 1.369 61.42
transp_dark_small 7 2 0.092 17.25
transp_dark_small 8 7 1.023 49.89
transp_dark_small 9 7 1.023 50.16
transp_dark_steep_small 10 5 0.49 44.3
transp_dark_steep_small 11 7 1.023 81.76
transp_dark_steep_small 12 3 0.171 23.01
transp_dark_steep_small 13 2 0.092 17.43
transp_dark_steep_small 14 8 1.369 105.9
transp_dark_steep_small 1 9 1.768 134.3
transp_dark_steep_small 15 2 0.092 17.1
transp_dark_steep_small 2 6 0.73 61.68
transp_dark_steep_small 3 1 0.065 15.6
transp_dark_steep_small 4 6 0.73 61.84
transp_dark_steep_small 5 9 1.768 133.6
transp_dark_steep_small 6 4 0.305 32.88
transp_dark_steep_small 7 1 0.065 15.79
transp_dark_steep_small 8 9 1.768 134.2
transp_dark_steep_small 9 7 1.023 81.74
transp_med_small 10 1 0.065 122.9
transp_med_small 11 5 0.49 137.3
transp_med_small 12 6 0.73 146.9
transp_med_small 13 9 1.768 182.2
transp_med_small 14 9 1.768 182.2
transp_med_small 15 10 2.22 199.1
transp_med_small 1 8 1.369 168.8
transp_med_small 2 10 2.22 198.3
transp_med_small 3 3 0.171 126.6
transp_med_small 4 7 1.023 156.4
transp_med_small 5 8 1.369 168.6
transp_med_small 6 8 1.369 168.6
transp_med_small 7 6 0.73 146.9
transp_med_small 8 4 0.305 130.4
transp_med_small 9 2 0.092 122.7
transp_med_steep_small 10 6 0.73 142.2
transp_med_steep_small 11 9 1.768 215.7
transp_med_steep_small 12 3 0.171 102.8
transp_med_steep_small 13 8 1.369 186.8
transp_med_steep_small 14 3 0.171 102.9
transp_med_steep_small 15 1 0.065 95.8
transp_med_steep_small 1 8 1.369 187.2
transp_med_steep_small 2 10 2.22 248.8
transp_med_steep_small 3 9 1.768 215.6
transp_med_steep_small 4 4 0.305 110.6
transp_med_steep_small 5 7 1.023 163
transp_med_steep_small 6 9 1.768 215.7
transp_med_steep_small 7 10 2.22 248.2
transp_med_steep_small 8 7 1.023 163.1
transp_med_steep_small 9 10 2.22 248.2
