medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
shadow f3 1.023 0.730 1.023 0.065 0.485205877626 242.301869164 4 0.340205877626 169.891841485
transp_med e3 0.490 0.065 1.768 0.490 0.219120402114 109.424237117 7 0.159120402114 79.4614670432
transp_med f2 0.065 0.065 1.768 0.490 0.886965740123 442.932508912 17 0.0369657401235 18.4599328655
transp_med f3 1.768 0.065 1.768 0.490 0.247153482958 123.423383047 20 0.737153482958 368.119338651
shadow e3 0.490 0.065 0.305 0.490 0.442503493415 220.977173835 7 0.147503493415 73.6602209713
shadow f2 0.065 0.065 0.305 0.490 0.535275179666 267.305452243 12 0 0.0
shadow f3 0.305 0.065 0.305 0.490 0.863755916783 431.341998909 21 0.093755916783 46.8197829606
transp_dark e3 0.730 0.490 0.092 0.730 0.754963579724 377.01333589 7 0.404963579724 202.230510459
transp_dark f2 0.490 0.490 0.092 0.730 0.140091375577 69.9587612622 2 0.130091375577 64.9649662499
transp_dark f3 0.092 0.490 0.092 0.730 0.691977646318 345.559451882 18 0.04 19.9751800493
shadow e3 0.305 0.092 1.768 0.305 0.520083220683 259.718899343 15 0.0500832206825 25.0105337645
shadow f2 0.092 0.092 1.768 0.305 0.77693903529 387.98742793 17 0 0.0
shadow f3 1.768 0.092 1.768 0.305 0.87107538493 434.997191261 20 0.57607538493 287.680238398
shadow e3 0.171 0.730 0.065 0.171 0.376599733482 188.06618707 18 0.046599733482 23.2709516637
shadow f2 0.730 0.730 0.065 0.171 0.0416160686607 20.782211611 15 0.491616068661 245.502987165
shadow f3 0.065 0.730 0.065 0.171 0.131147326583 65.4922865368 12 0.02 9.98759002463
shadow e3 1.768 2.220 0.490 1.768 0.367729076516 183.636362819 13 0.632729076516 315.971930645
shadow f2 2.220 2.220 0.490 1.768 0.474996939059 237.203734514 3 0.624996939059 312.110659699
shadow f3 0.490 2.220 0.490 1.768 0.00892237824007 4.45565279532 8 0.085 42.4472576047
transp_dark_steep e3 0.490 0.065 1.768 0.490 0.967559804097 483.179532382 19 0.127559804097 63.7007513472
transp_dark_steep f2 0.065 0.065 1.768 0.490 0.310178798552 154.896933713 10 0.0301787985516 15.0706733685
transp_dark_steep f3 1.768 0.065 1.768 0.490 0.236981960008 118.34393299 7 0.586981960008 293.126758421
transp_dark_steep e3 0.092 0.490 0.065 0.092 0.200671564538 100.21126581 3 0.0506715645378 25.3043406255
transp_dark_steep f2 0.490 0.490 0.065 0.092 0.558008454813 278.657983848 4 0.358008454813 178.782083601
transp_dark_steep f3 0.065 0.490 0.065 0.092 0.24664766737 123.170789111 10 0.04 19.9751800493
transp_med_steep e3 0.065 1.768 0.171 0.065 0.491350761148 245.370498032 9 0.0413507611476 20.6497224774
transp_med_steep f2 1.768 1.768 0.171 0.065 0.124510166775 62.1778249823 15 0.674510166775 336.83655066
transp_med_steep f3 0.171 1.768 0.171 0.065 0.0532603087732 26.5971064306 4 0.0732603087732 36.5846964552
transp_dark e3 0.730 0.171 0.065 0.730 0.99161323198 495.191321201 17 0.25161323198 125.650490289
transp_dark f2 0.171 0.171 0.065 0.730 0.298577118524 149.103292528 9 0.0685771185244 34.2460072446
transp_dark f3 0.065 0.171 0.065 0.730 0.535682630717 267.508924946 20 0.04 19.9751800493
transp_med e3 0.171 0.490 1.768 0.171 0.872874633948 435.895699339 32 0.035 17.4782825431
transp_med f2 0.490 0.490 1.768 0.171 0.959196653028 479.003146172 16 0.249196653028 124.443700298
transp_med f3 1.768 0.490 1.768 0.171 0.946654036828 472.73962075 8 0.681654036828 340.404052924
transp_dark e3 1.768 0.092 0.065 1.768 0.822154637302 410.567172711 10 0.592154637302 295.709887428
transp_dark f2 0.092 0.092 0.065 1.768 0.113381326892 56.6203104721 8 0.0433813268917 21.6637453859
transp_dark f3 0.065 0.092 0.065 1.768 0.637187110279 318.198181322 26 0.03 14.9813850369
transp_dark_steep e3 0.305 0.490 2.220 0.305 0.235521921509 117.614819692 5 0.0955219215086 47.7016895196
transp_dark_steep f2 0.490 0.490 2.220 0.305 0.364662855518 182.105154906 8 0.154662855518 77.2354596476
transp_dark_steep f3 2.220 0.490 2.220 0.305 0.915362919389 457.11347813 12 0.590362919389 294.81514023
plain e3 0.490 0.065 1.768 0.490 0.108942156715 54.4034798834 15 0.153942156715 76.8755574388
plain f2 0.065 0.065 1.768 0.490 0.216527143779 108.129217064 15 0.01 4.99379501231
plain f3 1.768 0.065 1.768 0.490 0.804692172852 401.846775924 15 0.749692172852 374.380903356
transp_dark e3 0.171 0.305 1.369 0.171 0.118618996206 59.2358951619 3 0.078618996206 39.2607151127
transp_dark f2 0.305 0.305 1.369 0.171 0.364592882244 182.070211687 10 0.0845928822436 42.2439513425
transp_dark f3 1.369 0.305 1.369 0.171 0.270200762641 134.93272208 4 0.470200762641 234.808622326
shadow e3 0.730 0.171 1.023 0.730 0.487967996387 243.681214653 10 0.267967996387 133.817724382
shadow f2 0.171 0.171 1.023 0.730 0.994051091103 496.408738074 25 0.03 14.9813850369
shadow f3 1.023 0.171 1.023 0.730 0.373530862768 186.533655943 4 0.473530862768 236.471606067
plain e3 1.768 0.171 1.369 1.768 0.0992772331262 49.5770151622 17 0.749277233126 374.173690963
plain f2 0.171 0.171 1.369 1.768 0.0267998922264 13.3833168131 3 0.0417998922264 20.8740093316
plain f3 1.369 0.171 1.369 1.768 0.843999246259 421.475922636 7 0.658999246259 329.090714909
transp_dark e3 0.065 0.092 0.730 0.065 0.601587198664 300.420315216 16 0.021587198664 10.7802045018
transp_dark f2 0.092 0.092 0.730 0.065 0.303300227145 151.461916155 11 0.0283002271447 14.1325533163
transp_dark f3 0.730 0.092 0.730 0.065 0.116171689605 58.0137604124 4 0.206171689605 102.957915523
transp_dark e3 0.305 0.065 2.220 0.305 0.0931434780976 46.5139436353 3 0.0881434780976 44.0170461292
transp_dark f2 0.065 0.065 2.220 0.305 0.468394183643 233.906453807 18 0.0283941836426 14.1794732653
transp_dark f3 2.220 0.065 2.220 0.305 0.268166171292 133.916688867 8 0.668166171292 333.66848936
transp_med e3 1.369 0.171 0.065 1.369 0.500699245954 250.038939711 3 0.515699245954 257.52963223
transp_med f2 0.171 0.171 0.065 1.369 0.772365315584 385.703406065 24 0.122365315584 61.1067302644
transp_med f3 0.065 0.171 0.065 1.369 0.236869762536 118.287903872 8 0.045 22.4720775554
transp_med e3 1.023 1.369 2.220 1.023 0.933120878482 465.981438885 14 0.333120878482 166.353738146
transp_med f2 1.369 1.369 2.220 1.023 0.756380866465 377.721099836 7 0.461380866465 230.404146973
transp_med f3 2.220 1.369 2.220 1.023 0.740430801009 369.755964104 15 0.660430801009 329.805604006
shadow e3 0.730 1.023 0.305 0.730 0.621337902258 310.283411726 18 0.206337902258 103.040918715
shadow f2 1.023 1.023 0.305 0.730 0.554550183387 276.930993988 10 0.434550183387 217.00545384
shadow f3 0.305 1.023 0.305 0.730 0.0621094047328 31.0161635572 7 0.0371094047328 18.5316760265
transp_dark_steep e3 0.171 0.092 0.730 0.171 0.22004600399 109.886463721 9 0.0600460039902 29.9857435236
transp_dark_steep f2 0.092 0.092 0.730 0.171 0.415348182847 207.416368388 16 0.0353481828473 17.6521579197
transp_dark_steep f3 0.730 0.092 0.730 0.171 0.31101954749 155.316786499 9 0.23601954749 117.863323907
plain e3 1.768 0.490 1.023 1.768 0.947480424357 473.152301742 5 0.697480424357 348.307426434
plain f2 0.490 0.490 1.023 1.768 0.987865257177 493.319659413 21 0.182865257177 91.3191609214
plain f3 1.023 0.490 1.023 1.768 0.309551685275 154.583766198 8 0.379551685275 189.540331284
shadow e3 0.065 1.768 1.369 0.065 0.415901015235 207.69244155 18 0.025 12.4844875308
shadow f2 1.768 1.768 1.369 0.065 0.192903860834 96.3322338091 12 0.512903860834 256.133674203
shadow f3 1.369 1.768 1.369 0.065 0.789813006022 394.416425014 19 0.419813006022 209.646009558
transp_dark_steep e3 0.490 0.171 0.092 0.490 0.0171136162327 8.54618913854 11 0.175 87.3914127155
transp_dark_steep f2 0.171 0.171 0.092 0.490 0.775866946333 387.452048682 23 0.0508669463326 25.4019102887
transp_dark_steep f3 0.092 0.171 0.092 0.490 0.142644925052 71.2339515258 8 0.03 14.9813850369
transp_dark e3 0.171 0.305 0.490 0.171 0.859458180143 429.195797329 21 0.0544581801431 27.1952988378
transp_dark f2 0.305 0.305 0.490 0.171 0.49212571153 245.757492367 21 0.0971257115301 48.5025893806
transp_dark f3 0.490 0.305 0.490 0.171 0.820257380401 409.619721506 17 0.160257380401 80.0292506934
transp_dark e3 2.220 1.768 1.023 2.220 0.911650048186 455.259346361 7 0.561650048186 280.47652093
transp_dark f2 1.768 1.768 1.023 2.220 0.065811377106 32.8648526745 9 0.515811377106 257.585628229
transp_dark f3 1.023 1.768 1.023 2.220 0.91251900375 455.693284957 15 0.27251900375 136.090404169
transp_dark e3 1.023 0.490 2.220 1.023 0.118620640968 59.2367165226 8 0.283620640968 141.634334226
transp_dark f2 0.490 0.490 2.220 1.023 0.465954825762 232.688288486 10 0.155954825762 77.8806431038
transp_dark f3 2.220 0.490 2.220 1.023 0.178215013056 88.9969243316 16 0.488215013056 243.804569713
shadow e3 0.490 1.023 0.092 0.490 0.425748357597 212.610002467 6 0.125748357597 62.7961520974
shadow f2 1.023 1.023 0.092 0.490 0.456222513023 227.828171004 7 0.371222513023 185.380913399
shadow f3 0.092 1.023 0.092 0.490 0.868410169994 433.666237556 18 0 0.0
plain e3 0.305 1.369 0.730 0.305 0.89552542171 447.207038434 18 0.10552542171 52.697232461
plain f2 1.369 1.369 0.730 0.305 0.743437734941 371.257565271 4 0.543437734941 271.381665025
plain f3 0.730 1.369 0.730 0.305 0.365850576856 182.698278596 8 0.295850576856 147.741713509
transp_dark e3 1.369 0.730 0.092 1.369 0.698399562232 348.766425048 11 0.338399562232 168.989804604
transp_dark f2 0.730 0.730 0.092 1.369 0.429810296715 214.638451598 6 0.229810296715 114.762551351
transp_dark f3 0.092 0.730 0.092 1.369 0.416637613658 208.060283703 13 0.0316376136577 15.7991757285
plain e3 0.730 0.171 0.092 0.730 0.00809769685456 4.04382381635 5 0.258097696855 128.888699124
plain f2 0.171 0.171 0.092 0.730 0.65559598164 327.391194321 19 0.0705959816401 35.2541861004
plain f3 0.092 0.171 0.092 0.730 0.445632715072 222.539842985 15 0.03 14.9813850369
transp_dark_steep e3 0.730 2.220 0.171 0.730 0.367882319585 183.712889266 7 0.182882319585 91.3276815383
transp_dark_steep f2 2.220 2.220 0.171 0.730 0.994702006066 496.733791663 15 0.664702006066 331.938556257
transp_dark_steep f3 0.171 2.220 0.171 0.730 0.385754503376 192.637891494 17 0.0657545033763 32.8364510998
shadow e3 1.023 1.369 0.092 1.023 0.687578803921 343.362760159 10 0.242578803921 121.138882111
shadow f2 1.369 1.369 0.092 1.023 0.155668304329 77.7375601734 22 0.395668304329 197.588640469
shadow f3 0.092 1.369 0.092 1.023 0.116971559827 58.4131992045 9 0 0.0
transp_med_steep e3 0.171 0.065 1.023 0.171 0.267560076944 133.614017774 7 0.0275600769439 13.7629374781
transp_med_steep f2 0.065 0.065 1.023 0.171 0.126431941717 63.1375199943 5 0.0414319417169 20.6902623896
transp_med_steep f3 1.023 0.065 1.023 0.171 0.645977326367 322.587835048 6 0.500977326367 250.177807369
transp_med_steep e3 0.171 1.768 0.092 0.171 0.700307124871 349.719022727 25 0.06 29.9627700739
transp_med_steep f2 1.768 1.768 0.092 0.171 0.597587816112 298.423105552 6 0.707587816112 353.354850688
transp_med_steep f3 0.092 1.768 0.092 0.171 0.13414073276 66.9871322207 11 0.04 19.9751800493
plain e3 0.092 2.220 0.065 0.092 0.550029264335 274.673339687 19 0.035 17.4782825431
plain f2 2.220 2.220 0.065 0.092 0.114323818299 57.0909713613 30 0.799323818299 399.165929705
plain f3 0.065 2.220 0.065 0.092 0.914182072232 456.523787266 20 0.0241820722319 12.0760311699
transp_dark_steep e3 1.023 2.220 0.305 1.023 0.793984051962 396.499359854 11 0.353984051962 176.772379312
transp_dark_steep f2 2.220 2.220 0.305 1.023 0.666816051917 332.99426742 5 0.736816051917 367.950832506
transp_dark_steep f3 0.305 2.220 0.305 1.023 0.0216574985426 10.8153108201 6 0.101657498543 50.7656709186
transp_dark_steep e3 0.065 0.092 0.305 0.065 0.778204355969 388.61930314 17 0.0382043559692 19.0784722287
transp_dark_steep f2 0.092 0.092 0.305 0.065 0.895685208468 447.286832665 21 0 0.0
transp_dark_steep f3 0.305 0.092 0.305 0.065 0.884062035271 441.482458231 19 0.124062035271 61.9540372955
transp_med_steep e3 0.490 0.730 0.171 0.490 0.623791673295 311.508774682 17 0.213791673295 106.763179177
transp_med_steep f2 0.730 0.730 0.171 0.490 0.136507303569 68.1689491709 4 0.336507303569 168.044849417
transp_med_steep f3 0.171 0.730 0.171 0.490 0.602698187542 300.975120288 9 0.152698187542 76.2543447335
transp_med e3 1.768 1.369 0.730 1.768 0.885757389657 442.329083459 12 0.485757389657 242.577282966
transp_med f2 1.369 1.369 0.730 1.768 0.545800194287 272.561428795 3 0.505800194287 252.586248746
transp_med f3 0.730 1.369 0.730 1.768 0.045470131907 22.7068517926 5 0.295470131907 147.551727101
transp_med_steep e3 1.369 0.305 1.023 1.369 0.345085303265 172.328526627 4 0.545085303265 272.204426873
transp_med_steep f2 0.305 0.305 1.023 1.369 0.0361785274348 18.0668149857 3 0.0861785274348 43.0357900473
transp_med_steep f3 1.023 0.305 1.023 1.369 0.746410765851 372.742235965 10 0.411410765851 205.450103052
transp_med_steep e3 1.768 0.730 2.220 1.768 0.246412593403 123.053397991 8 0.646412593403 322.805198483
transp_med_steep f2 0.730 0.730 2.220 1.768 0.577775001396 288.528992021 7 0.272775001396 136.218244145
transp_med_steep f3 2.220 0.730 2.220 1.768 0.588139559158 293.704839707 21 0.678139559158 338.648994818
transp_dark e3 1.369 0.171 0.490 1.369 0.0148909892457 7.43625478235 15 0.429890989246 214.678747793
transp_dark f2 0.171 0.171 0.490 1.369 0.208092000065 103.916879203 3 0.0580920000649 29.009954018
transp_dark f3 0.490 0.171 0.490 1.369 0.94143615793 470.133918988 23 0.11643615793 58.1458304721
plain e3 2.220 0.065 1.023 2.220 0.637335344656 318.272206531 6 0.827335344656 413.154311765
plain f2 0.065 0.065 1.023 2.220 0.827912353852 413.44245833 20 0 0.0
plain f3 1.023 0.065 1.023 2.220 0.300060733944 149.844179656 3 0.340060733944 169.819359705
plain e3 1.023 0.490 0.305 1.023 0.774877928734 386.958153566 10 0.464877928734 232.150508185
plain f2 0.490 0.490 0.305 1.023 0.427451717992 213.460625732 12 0.202451717992 101.100237954
plain f3 0.305 0.490 0.305 1.023 0.482212865925 240.807220473 12 0.162212865925 81.0057800791
transp_dark_steep e3 0.305 2.220 1.023 0.305 0.732913031698 366.001744215 15 0.0829130316978 41.4050684148
transp_dark_steep f2 2.220 2.220 1.023 0.305 0.104748319794 52.3091636934 13 0.654748319794 326.967889371
transp_dark_steep f3 1.023 2.220 1.023 0.305 0.879479365035 439.193966654 11 0.329479365035 164.535240977
shadow e3 0.730 0.171 0.305 0.730 0.0227099179773 11.3408675125 11 0.272709917977 136.18574282
shadow f2 0.171 0.171 0.305 0.730 0.536054008004 267.69438315 13 0.05 24.9689750616
shadow f3 0.305 0.171 0.305 0.730 0.690611896475 344.877424406 20 0.085 42.4472576047
transp_dark_steep e3 1.768 0.305 1.369 1.768 0.542462246119 270.894525904 6 0.577462246119 288.372808447
transp_dark_steep f2 0.305 0.305 1.369 1.768 0.157049790867 78.4274462318 1 0.107049790867 53.4584711702
transp_dark_steep f3 1.369 0.305 1.369 1.768 0.970799585961 484.797413033 18 0.48 239.702160591
plain e3 0.171 0.065 0.305 0.171 0.952189587281 475.503961174 21 0.0671895872805 33.5531025841
plain f2 0.065 0.065 0.305 0.171 0.820274233843 409.628137769 22 0.025 12.4844875308
plain f3 0.305 0.065 0.305 0.171 0.733070766836 366.08051391 12 0.133070766836 66.4528131711
shadow e3 0.171 1.768 0.065 0.171 0.839618421025 419.288228316 21 0.035 17.4782825431
shadow f2 1.768 1.768 0.065 0.171 0.748289996754 373.680685356 4 0.548289996754 273.804785109
shadow f3 0.065 1.768 0.065 0.171 0.659984789805 329.582875153 13 0.00998478980467 4.98619935256
transp_med_steep e3 1.369 0.092 1.023 1.369 0.236370962523 118.038813371 5 0.486370962523 242.883688678
transp_med_steep f2 0.092 0.092 1.023 1.369 0.903283762147 451.081394611 17 0.0532837621471 26.6088185648
transp_med_steep f3 1.023 0.092 1.023 1.369 0.634758281914 316.985274225 5 0.384758281914 192.140398917
transp_dark_steep e3 0.171 0.092 1.768 0.171 0.55639279213 277.851155022 21 0.0663927921296 33.155199419
transp_dark_steep f2 0.092 0.092 1.768 0.171 0.85499595211 426.96745212 20 0.04499595211 22.4700561221
transp_dark_steep f3 1.768 0.092 1.768 0.171 0.769861578337 384.453091007 8 0.579861578337 289.570985773
shadow e3 1.369 0.092 1.768 1.369 0.382676848745 191.100973859 5 0.442676848745 221.063743933
shadow f2 0.092 0.092 1.768 1.369 0.978654352875 488.719922616 25 0.02 9.98759002463
shadow f3 1.768 0.092 1.768 1.369 0.687305224499 343.226140204 8 0.522305224499 260.828522501
transp_dark e3 1.023 1.369 2.220 1.023 0.135486176886 67.6590194372 8 0.245486176886 122.590764573
transp_dark f2 1.369 1.369 2.220 1.023 0.614841002684 307.038993257 7 0.364841002684 182.194117949
transp_dark f3 2.220 1.369 2.220 1.023 0.29288337454 146.259953497 10 0.59288337454 296.073803866
transp_dark e3 2.220 0.730 0.171 2.220 0.204572808202 102.159466925 12 0.584572808202 291.923677393
transp_dark f2 0.730 0.730 0.171 2.220 0.991235854167 495.002866456 16 0.191235854167 95.4992654714
transp_dark f3 0.171 0.730 0.171 2.220 0.0987884999545 49.3329518347 12 0.0487884999545 24.3639767731
transp_med_steep e3 1.369 0.171 0.730 1.369 0.00310130338918 1.54872733965 12 0.548101303389 273.710555511
transp_med_steep f2 0.171 0.171 0.730 1.369 0.23126275598 115.487879735 8 0.1 49.9379501231
transp_med_steep f3 0.730 0.171 0.730 1.369 0.816828708832 407.907513208 20 0.311828708832 155.720865086
transp_med_steep e3 1.023 0.490 0.305 1.023 0.894540606618 446.715241964 10 0.449540606618 224.491363916
transp_med_steep f2 0.490 0.490 0.305 1.023 0.855361382224 427.149940428 21 0.310361382224 154.988112257
transp_med_steep f3 0.305 0.490 0.305 1.023 0.652473198296 325.831740332 15 0.182473198296 91.1233747532
shadow e3 2.220 0.490 0.092 2.220 0.466767505798 233.094124237 12 0.701767505798 350.448307026
shadow f2 0.490 0.490 0.092 2.220 0.175328399028 87.5554084585 1 0.125328399028 62.5864333969
shadow f3 0.092 0.490 0.092 2.220 0.396028569764 197.768549642 8 0 0.0
transp_dark_steep e3 2.220 1.768 1.023 2.220 0.0466522940239 23.2971993209 21 0.516652294024 258.0055649
transp_dark_steep f2 1.768 1.768 1.023 2.220 0.0791658463321 39.5338008559 9 0.429165846332 214.316626287
transp_dark_steep f3 1.023 1.768 1.023 2.220 0.486140833234 242.768766829 7 0.246140833234 122.917686533
plain e3 0.171 2.220 0.305 0.171 0.876043477651 437.478154926 23 0.051043477651 25.4900664105
plain f2 2.220 2.220 0.305 0.171 0.250596310956 125.142660776 11 0.800596310956 399.801386453
plain f3 0.305 2.220 0.305 0.171 0.734417012592 366.752801444 15 0.0944170125923 47.1499206561
shadow e3 2.220 0.305 1.369 2.220 0.603047094684 301.149357362 7 0.568047094684 283.671074819
shadow f2 0.305 0.305 1.369 2.220 0.36349530655 181.522104885 12 0.0434953065499 21.7206644908
shadow f3 1.369 0.305 1.369 2.220 0.99331504288 496.041170679 17 0.37831504288 188.922777422
transp_med e3 0.171 0.092 0.065 0.171 0.731093180342 365.092947753 12 0.131093180342 65.465247014
transp_med f2 0.092 0.092 0.065 0.171 0.486923964163 243.159846361 15 0.0619239641627 30.9235583378
transp_med f3 0.065 0.092 0.065 0.171 0.464815445276 232.119305227 16 0.039815445276 19.8830172032
transp_dark_steep e3 0.490 1.369 0.730 0.490 0.634632786286 316.922604281 19 0.179632786286 89.7049312202
transp_dark_steep f2 1.369 1.369 0.730 0.490 0.154267136166 77.0378455148 14 0.374267136166 186.901335786
transp_dark_steep f3 0.730 1.369 0.730 0.490 0.882193697513 440.549448654 22 0.237193697513 118.449670359
transp_med e3 0.730 0.092 0.490 0.730 0.36894360533 184.242873612 3 0.31894360533 159.27389855
transp_med f2 0.092 0.092 0.490 0.730 0.695763651538 347.45010528 12 0.0957636515376 47.822404541
transp_med f3 0.490 0.092 0.490 0.730 0.823850190709 411.413897326 16 0.298850190709 149.239659179
plain e3 1.369 0.305 0.490 1.369 0.12260245896 61.2251548052 8 0.52260245896 260.976955298
plain f2 0.305 0.305 0.490 1.369 0.901810656901 450.345756049 21 0.126810656901 63.3266425942
plain f3 0.490 0.305 0.490 1.369 0.929537888832 464.192167301 17 0.179537888832 89.6575413773
transp_med e3 0.171 2.220 0.730 0.171 0.983507576788 491.143523154 29 0.07 34.9565650862
transp_med f2 2.220 2.220 0.730 0.171 0.0718809526661 35.8958742905 12 0.581880952666 290.579419918
transp_med f3 0.730 2.220 0.730 0.171 0.0344526250444 17.2049347108 15 0.279452625044 139.552912512
transp_dark e3 1.768 0.305 0.092 1.768 0.666104327276 332.638846723 3 0.516104327276 257.731921538
transp_dark f2 0.305 0.305 0.092 1.768 0.0247359928335 12.3526477637 6 0.114735992833 57.2968028745
transp_dark f3 0.092 0.305 0.092 1.768 0.833670548828 416.317982865 16 0.0336705488281 16.8143818799
transp_med_steep e3 0.092 1.023 0.305 0.092 0.671871888592 335.519048616 22 0.07 34.9565650862
transp_med_steep f2 1.023 1.023 0.305 0.092 0.707095938473 353.109217077 12 0.372095938473 185.817084165
transp_med_steep f3 0.305 1.023 0.305 0.092 0.7520878086 375.577234741 15 0.1670878086 83.4402265203
transp_med e3 1.023 0.065 0.305 1.023 0.665715781112 332.444814733 8 0.365715781112 182.630964364
transp_med f2 0.065 0.065 0.305 1.023 0.727111174668 363.104415745 15 0.0771111746678 38.507739945
transp_med f3 0.305 0.065 0.305 1.023 0.342902415112 171.23843703 10 0.177902415112 88.8408193267
