d2_n d2_v d3_n d3_v d4_n d4_v e1_n e1_v e2_n e2_v e3_n e3_v e4_n e4_v f1_n f1_v f2_n f2_v f3_n f3_v f4_n f4_v g1_n g1_v g2_n g2_v g3_n g3_v g4_n g4_v 
80	0.3137	81	0.3176	82	0.3216	69	0.2706	80	0.3137	48	0.1882	72	0.2824	91	0.3569	106	0.4157	52	0.2039	57	0.2235	56	0.2196	56	0.2196	49	0.1922	73	0.2863	
80	0.3137	81	0.3176	82	0.3216	69	0.2706	80	0.3137	48	0.1882	72	0.2824	91	0.3569	106	0.4157	52	0.2039	57	0.2235	56	0.2196	56	0.2196	49	0.1922	73	0.2863	
6	0.0235	141	0.5529	122	0.4784	21	0.0824	1	0.0039	4	0.0157	26	0.1020	47	0.1843	1	0.0039	12	0.0471	56	0.2196	21	0.0824	18	0.0706	18	0.0706	18	0.0706	
6	0.0235	141	0.5529	122	0.4784	21	0.0824	1	0.0039	4	0.0157	26	0.1020	47	0.1843	1	0.0039	12	0.0471	56	0.2196	21	0.0824	18	0.0706	18	0.0706	18	0.0706	
6	0.0235	141	0.5529	122	0.4784	21	0.0824	1	0.0039	4	0.0157	26	0.1020	47	0.1843	1	0.0039	12	0.0471	56	0.2196	21	0.0824	18	0.0706	18	0.0706	18	0.0706	
40	0.1569	14	0.0549	15	0.0588	112	0.4392	25	0.0980	155	0.6078	203	0.7961	5	0.0196	7	0.0275	65	0.2549	28	0.1098	7	0.0275	14	0.0549	5	0.0196	69	0.2706	
40	0.1569	14	0.0549	15	0.0588	112	0.4392	25	0.0980	155	0.6078	203	0.7961	5	0.0196	7	0.0275	65	0.2549	28	0.1098	7	0.0275	14	0.0549	5	0.0196	69	0.2706	
40	0.1569	14	0.0549	15	0.0588	112	0.4392	25	0.0980	155	0.6078	203	0.7961	5	0.0196	7	0.0275	65	0.2549	28	0.1098	7	0.0275	14	0.0549	5	0.0196	69	0.2706	
9	0.0353	24	0.0941	10	0.0392	8	0.0314	24	0.0941	19	0.0745	16	0.0627	36	0.1412	15	0.0588	8	0.0314	26	0.1020	44	0.1725	19	0.0745	47	0.1843	16	0.0627	
9	0.0353	24	0.0941	10	0.0392	8	0.0314	24	0.0941	19	0.0745	16	0.0627	36	0.1412	15	0.0588	8	0.0314	26	0.1020	44	0.1725	19	0.0745	47	0.1843	16	0.0627	
9	0.0353	24	0.0941	10	0.0392	8	0.0314	24	0.0941	19	0.0745	16	0.0627	36	0.1412	15	0.0588	8	0.0314	26	0.1020	44	0.1725	19	0.0745	47	0.1843	16	0.0627	
25	0.0980	42	0.1647	8	0.0314	181	0.7098	7	0.0275	120	0.4706	15	0.0588	25	0.0980	88	0.3451	15	0.0588	164	0.6431	85	0.3333	14	0.0549	5	0.0196	8	0.0314	
25	0.0980	42	0.1647	8	0.0314	181	0.7098	7	0.0275	120	0.4706	15	0.0588	25	0.0980	88	0.3451	15	0.0588	164	0.6431	85	0.3333	14	0.0549	5	0.0196	8	0.0314	
25	0.0980	42	0.1647	8	0.0314	181	0.7098	7	0.0275	120	0.4706	15	0.0588	25	0.0980	88	0.3451	15	0.0588	164	0.6431	85	0.3333	14	0.0549	5	0.0196	8	0.0314	
62	0.2431	78	0.3059	70	0.2745	73	0.2863	84	0.3294	85	0.3333	62	0.2431	90	0.3529	62	0.2431	92	0.3608	66	0.2588	84	0.3294	84	0.3294	93	0.3647	64	0.2510	
62	0.2431	78	0.3059	70	0.2745	73	0.2863	84	0.3294	85	0.3333	62	0.2431	90	0.3529	62	0.2431	92	0.3608	66	0.2588	84	0.3294	84	0.3294	93	0.3647	64	0.2510	
62	0.2431	78	0.3059	70	0.2745	73	0.2863	84	0.3294	85	0.3333	62	0.2431	90	0.3529	62	0.2431	92	0.3608	66	0.2588	84	0.3294	84	0.3294	93	0.3647	64	0.2510	
79	0.3098	15	0.0588	22	0.0863	21	0.0824	8	0.0314	11	0.0431	7	0.0275	7	0.0275	8	0.0314	68	0.2667	11	0.0431	51	0.2000	15	0.0588	16	0.0627	89	0.3490	
79	0.3098	15	0.0588	22	0.0863	21	0.0824	8	0.0314	11	0.0431	7	0.0275	7	0.0275	8	0.0314	68	0.2667	11	0.0431	51	0.2000	15	0.0588	16	0.0627	89	0.3490	
79	0.3098	15	0.0588	22	0.0863	21	0.0824	8	0.0314	11	0.0431	7	0.0275	7	0.0275	8	0.0314	68	0.2667	11	0.0431	51	0.2000	15	0.0588	16	0.0627	89	0.3490	
85	0.3333	5	0.0196	27	0.1059	144	0.5647	7	0.0275	155	0.6078	27	0.1059	60	0.2353	14	0.0549	122	0.4784	95	0.3725	114	0.4471	118	0.4627	5	0.0196	28	0.1098	
