medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_dark e3 1.768 0.305 0.092 1.768 0.0338034133651 16.8807317062 9 0.483803413365 241.60150726
transp_dark f2 0.305 0.305 0.092 1.768 0.53530046471 267.318079076 6 0.23530046471 117.504228706
transp_dark f3 0.092 0.305 0.092 1.768 0.146847604236 73.3326833602 2 0.0468476042356 23.3947332371
transp_med_steep e3 0.305 0.730 1.023 0.305 0.682831650181 340.992128892 12 0.182831650181 91.3023782767
transp_med_steep f2 0.730 0.730 1.023 0.305 0.181420740621 90.5977989643 8 0.281420740621 140.535749087
transp_med_steep f3 1.023 0.730 1.023 0.305 0.155750701691 77.7787077271 4 0.355750701691 177.654607973
shadow e3 1.369 0.092 1.768 1.369 0.772147672003 385.594719322 25 0.352147672003 175.855328805
shadow f2 0.092 0.092 1.768 1.369 0.929962127425 464.404023358 18 0.0299621274254 14.9624722495
shadow f3 1.768 0.092 1.768 1.369 0.812644730406 405.818120149 5 0.562644730406 280.973244841
transp_dark e3 0.490 0.305 1.768 0.490 0.935932219529 467.385364975 15 0.185932219529 92.8507390513
transp_dark f2 0.305 0.305 1.768 0.490 0.817066434752 408.026228659 15 0.167066434752 83.4295528588
transp_dark f3 1.768 0.305 1.768 0.490 0.112605981725 56.2331189895 8 0.512605981725 255.984919482
transp_dark_steep e3 0.490 1.369 0.730 0.490 0.608277596189 303.761362595 8 0.208277596189 104.009562103
transp_dark_steep f2 1.369 1.369 0.730 0.490 0.823939491244 411.458492182 8 0.423939491244 211.70669169
transp_dark_steep f3 0.730 1.369 0.730 0.490 0.880377034805 439.642244536 14 0.280377034805 140.014543798
transp_dark e3 1.369 0.171 0.490 1.369 0.496719184728 248.051378722 5 0.346719184728 173.144453537
transp_dark f2 0.171 0.171 0.490 1.369 0.377339849239 188.435785708 5 0.127339849239 63.5909103999
transp_dark f3 0.490 0.171 0.490 1.369 0.3427789185 171.176765353 4 0.2427789185 121.23881523
transp_med_steep e3 0.171 0.065 1.768 0.171 0.912051936608 455.4600412 38 0.192051936608 95.9068003139
transp_med_steep f2 0.065 0.065 1.768 0.171 0.0959744231311 47.9276595542 6 0.120974423131 60.412147085
transp_med_steep f3 1.768 0.065 1.768 0.171 0.707025236943 353.073910183 4 0.507025236943 253.198009936
transp_dark_steep e3 0.490 0.065 1.768 0.490 0.0368315766833 18.3929343937 7 0.15 74.9069251847
transp_dark_steep f2 0.065 0.065 1.768 0.490 0.484346892883 241.872909791 8 0.184346892883 92.0590594213
transp_dark_steep f3 1.768 0.065 1.768 0.490 0.693193421303 346.166584987 16 0.393193421303 196.352734618
transp_dark_steep e3 0.490 0.171 0.092 0.490 0.602609959069 300.931060797 7 0.252609959069 126.148235366
transp_dark_steep f2 0.171 0.171 0.092 0.490 0.860392988252 429.662621336 19 0.130392988252 65.1155854372
transp_dark_steep f3 0.092 0.171 0.092 0.490 0.615831919685 307.533836895 16 0.0508319196854 25.3844186991
transp_dark_steep e3 1.768 0.305 1.369 1.768 0.527864762522 263.604841826 1 0.477864762522 238.635866764
transp_dark_steep f2 0.305 0.305 1.369 1.768 0.996330154994 497.546855863 16 0.196330154994 98.0432548778
transp_dark_steep f3 1.369 0.305 1.369 1.768 0.19888911072 99.3211449115 5 0.44888911072 224.166020219
transp_dark_steep e3 0.305 0.490 2.220 0.305 0.8916156791 445.254593119 15 0.1416156791 70.7199671953
transp_dark_steep f2 0.490 0.490 2.220 0.305 0.490302610668 244.847073168 8 0.290302610668 144.971172921
transp_dark_steep f3 2.220 0.490 2.220 0.305 0.807048175453 403.023315327 8 0.507048175453 253.209464958
transp_dark_steep e3 0.730 2.220 0.171 0.730 0.721223211246 360.164087508 12 0.221223211246 110.474336893
transp_dark_steep f2 2.220 2.220 0.171 0.730 0.0616588327923 30.7911571663 14 0.5 249.689750616
transp_dark_steep f3 0.171 2.220 0.171 0.730 0.757440419789 378.250219047 16 0.0574404197889 28.6845681847
transp_med_steep e3 1.023 0.490 0.305 1.023 0.763003709747 381.028412011 6 0.463003709747 231.214561642
transp_med_steep f2 0.490 0.490 0.305 1.023 0.443691388016 221.570384048 1 0.393691388016 196.601408986
transp_med_steep f3 0.305 0.490 0.305 1.023 0.0111642476996 5.57519644785 4 0.2111642477 105.451096694
transp_dark e3 1.023 1.369 2.220 1.023 0.0822025178017 41.0502523398 4 0.282202517802 140.926152586
transp_dark f2 1.369 1.369 2.220 1.023 0.866904461666 432.914317682 12 0.266904461666 133.286616943
transp_dark f3 2.220 1.369 2.220 1.023 0.392389620045 195.951332747 1 0.342389620045 170.982357685
shadow e3 1.023 1.369 0.092 1.023 0.653415663155 326.302387963 10 0.353415663155 176.488537594
shadow f2 1.369 1.369 0.092 1.023 0.715645252247 357.378569126 14 0.0156452522468 7.81291826365
shadow f3 0.092 1.369 0.092 1.023 0.0865215945154 43.2071107149 7 0.025 12.4844875308
plain e3 1.768 0.490 1.023 1.768 0.590677542916 294.97225677 3 0.740677542916 369.879181954
plain f2 0.490 0.490 1.023 1.768 0.879130028326 439.019515063 13 0.229130028326 114.422839263
plain f3 1.023 0.490 1.023 1.768 0.23000765268 114.861106875 4 0.43000765268 214.737007121
transp_med e3 0.171 0.490 1.768 0.171 0.816929270025 407.957731406 17 0.066929270025 33.4231054829
transp_med f2 0.490 0.490 1.768 0.171 0.558436685994 278.871833721 6 0.258436685994 129.057983352
transp_med f3 1.768 0.490 1.768 0.171 0.613978804539 306.608429177 1 0.563978804539 281.639454116
transp_med_steep e3 1.369 0.305 1.023 1.369 0.0575609050634 28.744736061 11 0.507560905063 253.465511615
transp_med_steep f2 0.305 0.305 1.023 1.369 0.569477498496 284.385389162 7 0.219477498496 109.602563731
transp_med_steep f3 1.023 0.305 1.023 1.369 0.196269906058 98.0131677939 6 0.396269906058 197.88906804
shadow e3 1.768 1.369 2.220 1.768 0.747666883928 373.369515583 6 0.547666883928 273.493615337
shadow f2 1.369 1.369 2.220 1.768 0.83364808858 416.306766678 10 0.33364808858 166.617016062
shadow f3 2.220 1.369 2.220 1.768 0.569551639391 284.422413604 0 0.569551639391 284.422413604
transp_med e3 0.490 0.065 1.768 0.490 0.0472666593971 23.6040007946 4 0.247266659397 123.479901041
transp_med f2 0.065 0.065 1.768 0.490 0.124559689499 62.2025556156 8 0.144559689499 72.1901456402
transp_med f3 1.768 0.065 1.768 0.490 0.543368020506 271.346851065 0 0.543368020506 271.346851065
transp_dark e3 0.305 0.065 2.220 0.305 0.202185099056 100.967093923 2 0.102185099056 51.0291438
transp_dark f2 0.065 0.065 2.220 0.305 0.0449037650447 22.4240197914 0 0.0449037650447 22.4240197914
transp_dark f3 2.220 0.065 2.220 0.305 0.75882783556 378.943066042 5 0.50882783556 254.098190735
transp_dark_steep e3 2.220 1.768 1.023 2.220 0.617541049953 308.387341515 1 0.567541049953 283.418366454
transp_dark_steep f2 1.768 1.768 1.023 2.220 0.0501007518104 25.0192884504 6 0.35010075181 174.83313882
transp_dark_steep f3 1.023 1.768 1.023 2.220 0.77430260036 386.67084637 12 0.27430260036 136.981095754
transp_med e3 0.092 0.305 1.023 0.092 0.437394620669 218.425907511 7 0.0873946206693 43.6430820801
transp_med f2 0.305 0.305 1.023 0.092 0.741481234495 370.280529055 11 0.191481234495 95.6218033773
transp_med f3 1.023 0.305 1.023 0.092 0.458375714726 228.903435797 3 0.408375714726 203.934460735
transp_med e3 1.023 0.065 0.305 1.023 0.251740511741 125.714051193 3 0.401740511741 200.620976378
transp_med f2 0.065 0.065 0.305 1.023 0.1325289638 66.1822478411 3 0.1825289638 91.1512229026
transp_med f3 0.305 0.065 0.305 1.023 0.491960891981 245.675184863 5 0.241960891981 120.830309555
transp_dark e3 0.092 0.065 0.171 0.092 0.16912387668 84.456997183 2 0.0691238766804 34.5190470599
transp_dark f2 0.065 0.065 0.171 0.092 0.354213734482 176.887078055 6 0.0542137344818 27.0732276854
transp_dark f3 0.171 0.065 0.171 0.092 0.634365016814 316.788885695 10 0.134365016814 67.0991350796
shadow e3 0.171 1.768 0.065 0.171 0.937922220757 468.379130796 21 0.0529222207571 26.4282722058
shadow f2 1.768 1.768 0.065 0.171 0.718313569087 358.711071859 6 0.418313569087 208.897221489
shadow f3 0.065 1.768 0.065 0.171 0.837480348944 418.220518947 31 0.01 4.99379501231
plain e3 2.220 0.065 1.023 2.220 0.764054922283 381.553366003 1 0.714054922283 356.584390942
plain f2 0.065 0.065 1.023 2.220 0.435773507255 217.616356703 13 0.0307735072548 15.3676587041
plain f3 1.023 0.065 1.023 2.220 0.0355650812985 17.7604725601 5 0.285565081299 142.605347868
transp_dark e3 0.065 0.092 0.730 0.065 0.610068090416 304.655498709 11 0.0600680904156 29.9967730317
transp_dark f2 0.092 0.092 0.730 0.065 0.458046858896 228.739211936 10 0.0580468588965 28.9874114438
transp_dark f3 0.730 0.092 0.730 0.065 0.342877955137 171.22622222 1 0.292877955137 146.257247158
transp_med_steep e3 0.171 0.065 1.023 0.171 0.105652749749 52.7608174735 1 0.155652749749 77.7297925351
transp_med_steep f2 0.065 0.065 1.023 0.171 0.578142949765 288.712737894 11 0.128142949765 63.9919623402
transp_med_steep f3 1.023 0.065 1.023 0.171 0.223022808332 111.373018788 5 0.473022808332 236.217894096
transp_dark e3 1.369 0.730 0.092 1.369 0.423012511738 211.243777126 1 0.373012511738 186.274802065
transp_dark f2 0.730 0.730 0.092 1.369 0.517248423464 258.303259722 6 0.317248423464 158.427359476
transp_dark f3 0.092 0.730 0.092 1.369 0.698312941747 348.723168553 13 0.0483129417469 24.1264927526
transp_med_steep e3 0.730 0.490 0.305 0.730 0.11082495773 55.3437121152 15 0.37582495773 187.679279942
transp_med_steep f2 0.490 0.490 0.305 0.730 0.428071447694 213.770106041 4 0.228071447694 113.894205795
transp_med_steep f3 0.305 0.490 0.305 0.730 0.119221693859 59.5368700152 4 0.219221693859 109.474820138
transp_med e3 1.369 0.171 0.065 1.369 0.603865768232 301.55818615 10 0.418865768232 209.172978423
transp_med f2 0.171 0.171 0.065 1.369 0.295620277176 147.62670657 5 0.265620277176 132.645321533
transp_med f3 0.065 0.171 0.065 1.369 0.281787680179 140.718991181 3 0.131787680179 65.8120659962
transp_dark_steep e3 0.305 1.023 1.369 0.305 0.232061050137 115.886531473 3 0.0820610501368 40.9796062878
transp_dark_steep f2 1.023 1.023 1.369 0.305 0.894480745823 446.68534871 11 0.344480745823 172.026623033
transp_dark_steep f3 1.369 1.023 1.369 0.305 0.720669707857 359.887679262 5 0.470669707857 235.042803954
plain e3 0.305 1.369 0.730 0.305 0.736508983291 367.797488728 13 0.0865089832907 43.2008129278
plain f2 1.369 1.369 0.730 0.305 0.792408612953 395.712617908 5 0.542408612953 270.8677426
plain f3 0.730 1.369 0.730 0.305 0.988654201391 493.713641981 14 0.288654201391 144.147991119
transp_dark e3 2.220 1.023 0.305 2.220 0.400835380964 200.168972622 7 0.550835380964 275.075897807
transp_dark f2 1.023 1.023 0.305 2.220 0.0420053295929 20.9766005411 17 0.32 159.801440394
