medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_med f2 0.092 0.092 1.768 1.369 0.119364043426 59.6079564709 3 0.0693640434257 34.6389814093
transp_med f3 1.768 0.092 1.768 1.369 0.502350780156 250.863682037 0 0.502350780156 250.863682037
transp_dark e3 0.171 0.305 1.369 0.171 0.35831631323 178.935821784 8 0.0683163132297 34.1157664266
transp_dark f2 0.305 0.305 1.369 0.171 0.596356499851 297.808211452 20 0.111356499851 55.6091533543
transp_dark f3 1.369 0.305 1.369 0.171 0.634495454969 316.854023836 4 0.434495454969 216.97812359
transp_dark e3 0.092 0.065 0.171 0.092 0.564733072389 282.016120018 17 0.03 14.9813850369
transp_dark f2 0.065 0.065 0.171 0.092 0.0706122944951 35.2623324058 3 0.0306122944951 15.2871523565
transp_dark f3 0.171 0.065 0.171 0.092 0.0180055131916 8.99158419704 7 0.0480055131916 23.972969234
plain e3 1.023 1.768 0.730 1.023 0.00376085980835 1.8780962953 7 0.353760859808 176.660921726
plain f2 1.768 1.768 0.730 1.023 0.379376464039 189.452829391 7 0.619376464039 309.303909686
plain f3 0.730 1.768 0.730 1.023 0.711932841743 355.52466742 15 0.241932841743 120.816301841
plain e3 0.092 2.220 0.065 0.092 0.254937318981 127.310471198 16 0.01 4.99379501231
plain f2 2.220 2.220 0.065 0.092 0.200920793798 100.335725794 15 0.750920793798 374.994451471
plain f3 0.065 2.220 0.065 0.092 0.758089321386 378.574267203 26 0.015 7.49069251847
shadow e3 1.768 2.220 0.490 1.768 0.0309700247941 15.4657955348 52 0.0959700247941 47.9254631149
shadow f2 2.220 2.220 0.490 1.768 0.433678231001 216.570018692 9 0.683678231001 341.414894
shadow f3 0.490 2.220 0.490 1.768 0.0874787956457 43.6851173379 10 0.122478795646 61.163399881
transp_med_steep e3 1.369 0.092 2.220 1.369 0.173622318201 86.7034266659 9 0.523622318201 261.486252097
transp_med_steep f2 0.092 0.092 2.220 1.369 0.889998466002 444.446990049 18 0.0899984660021 44.9433890637
transp_med_steep f3 2.220 0.092 2.220 1.369 0.915249864959 457.057021065 6 0.715249864959 357.181120819
transp_med e3 0.490 0.065 1.768 0.490 0.953200597268 476.008838837 15 0.203200597268 101.474212914
transp_med f2 0.065 0.065 1.768 0.490 0.940595428835 469.714076112 17 0.090595428835 45.2415000655
transp_med f3 1.768 0.065 1.768 0.490 0.0386766610879 19.3143317234 18 0.553676661088 276.494774858
plain e3 1.768 0.490 1.023 1.768 0.992173311554 495.471013459 6 0.75 374.534625924
plain f2 0.490 0.490 1.023 1.768 0.0515260841552 25.7310702058 9 0.176526084155 88.1535078598
plain f3 1.023 0.490 1.023 1.768 0.197584466353 98.6696322584 3 0.347584466353 173.576557443
transp_med e3 1.023 0.065 0.305 1.023 0.339398250627 169.488529117 1 0.389398250627 194.457504178
transp_med f2 0.065 0.065 0.305 1.023 0.577232438956 288.25804746 12 0.197232438956 98.4938369923
transp_med f3 0.305 0.065 0.305 1.023 0.0216780080742 10.8255528598 21 0.265 132.335567826
transp_med_steep e3 0.065 1.768 0.171 0.065 0.989203035275 493.987718372 23 0.114203035275 57.030654795
transp_med_steep f2 1.768 1.768 0.171 0.065 0.982426608257 490.603709628 7 0.632426608257 315.820884197
transp_med_steep f3 0.171 1.768 0.171 0.065 0.257508887995 128.594660049 10 0.0825088879947 41.203247334
transp_dark e3 1.023 1.369 2.220 1.023 0.75759688808 378.328356104 9 0.30759688808 153.60758055
transp_dark f2 1.369 1.369 2.220 1.023 0.394693529173 197.101857738 8 0.274693529173 137.17631759
transp_dark f3 2.220 1.369 2.220 1.023 0.56238158648 280.841836158 3 0.51238158648 255.872861096
transp_med_steep e3 0.305 0.730 1.023 0.305 0.384245654738 191.884403413 15 0.199245654738 99.4991956854
transp_med_steep f2 0.730 0.730 1.023 0.305 0.212763301978 106.249631622 8 0.292763301978 146.199991721
transp_med_steep f3 1.023 0.730 1.023 0.305 0.507644571156 253.507292747 4 0.407644571156 203.569342623
transp_med_steep e3 1.369 0.171 0.730 1.369 0.596383765546 297.821827381 3 0.446383765546 222.914902196
transp_med_steep f2 0.171 0.171 0.730 1.369 0.301658440152 150.642041385 13 0.0866584401519 43.2754486206
transp_med_steep f3 0.730 0.171 0.730 1.369 0.487816153938 243.605387646 12 0.112816153938 56.3380746843
transp_med e3 1.369 0.171 0.065 1.369 0.247925299767 123.808812541 4 0.447925299767 223.684712787
transp_med f2 0.171 0.171 0.065 1.369 0.440524875222 219.989092468 11 0.155524875222 77.6659346173
transp_med f3 0.065 0.171 0.065 1.369 0.68771592321 343.431234722 23 0.14271592321 71.2694065506
transp_med e3 0.490 0.305 2.220 0.490 0.840307982844 419.632581353 15 0.190307982844 95.035905553
transp_med f2 0.305 0.305 2.220 0.490 0.483333207084 241.366695882 12 0.173333207084 86.5590505002
transp_med f3 2.220 0.305 2.220 0.490 0.317567606242 158.586752813 7 0.567567606242 283.43162812
transp_med_steep e3 0.490 0.065 2.220 0.490 0.105237785449 52.5535928083 2 0.205237785449 102.491542931
transp_med_steep f2 0.065 0.065 2.220 0.490 0.335666546288 167.624992466 6 0.135666546288 67.7490922192
transp_med_steep f3 2.220 0.065 2.220 0.490 0.36087205084 180.212104757 7 0.57587205084 287.578697522
shadow e3 2.220 0.490 0.092 2.220 0.803871755862 401.437076496 6 0.503871755862 251.623226127
shadow f2 0.490 0.490 0.092 2.220 0.522516288972 260.933923772 7 0.172516288972 86.151098341
shadow f3 0.092 0.490 0.092 2.220 0.108169599513 54.017680653 10 0.025 12.4844875308
transp_dark e3 2.220 1.768 1.023 2.220 0.25973417336 129.705921945 8 0.65973417336 329.457722438
transp_dark f2 1.768 1.768 1.023 2.220 0.972845412793 485.819057016 5 0.722845412793 360.974181708
transp_dark f3 1.023 1.768 1.023 2.220 0.483601942988 241.500897084 4 0.283601942988 141.624996838
plain e3 1.768 0.171 1.369 1.768 0.287954497763 143.79857347 12 0.787954497763 393.488324086
plain f2 0.171 0.171 1.369 1.768 0.291692165496 145.665088119 11 0.04 19.9751800493
plain f3 1.369 0.171 1.369 1.768 0.0413432537599 20.6459734419 13 0.55 274.658725677
transp_dark e3 0.065 0.092 0.730 0.065 0.73919373656 369.138199477 21 0.025 12.4844875308
